time,fitness,extraction,metabolic,population
0.000000000000000000e+00,9.920591390816724253e-01,9.965268720146684966e-01,1.004694616652465067e+00,3.000000000000000000e+01
5.000000000000000000e+03,9.981202502283477163e-01,1.000776880564035798e+00,1.002890075780645152e+00,4.500000000000000000e+01
1.000000000000000000e+04,9.981202502283477163e-01,1.000776880564035798e+00,1.002890075780645152e+00,4.500000000000000000e+01
1.500000000000000000e+04,9.981202502283477163e-01,1.000776880564035798e+00,1.002890075780645152e+00,4.500000000000000000e+01
2.000000000000000000e+04,9.981202502283477163e-01,1.000776880564035798e+00,1.002890075780645152e+00,4.500000000000000000e+01
2.500000000000000000e+04,9.981202502283477163e-01,1.000776880564035798e+00,1.002890075780645152e+00,4.500000000000000000e+01
3.000000000000000000e+04,9.981202502283477163e-01,1.000776880564035798e+00,1.002890075780645152e+00,4.500000000000000000e+01
3.500000000000000000e+04,9.989195727171005235e-01,1.001135948335110770e+00,1.002457641399596033e+00,4.600000000000000000e+01
4.000000000000000000e+04,9.999815700983325506e-01,1.001630067363497023e+00,1.001863415488975395e+00,4.500000000000000000e+01
4.500000000000000000e+04,9.999815700983325506e-01,1.001630067363497023e+00,1.001863415488975395e+00,4.500000000000000000e+01
5.000000000000000000e+04,9.999815700983325506e-01,1.001630067363497023e+00,1.001863415488975395e+00,4.500000000000000000e+01
5.500000000000000000e+04,9.999815700983325506e-01,1.001630067363497023e+00,1.001863415488975395e+00,4.500000000000000000e+01
6.000000000000000000e+04,9.999815700983325506e-01,1.001630067363497023e+00,1.001863415488975395e+00,4.500000000000000000e+01
6.500000000000000000e+04,1.000353581109942436e+00,1.001549105120399963e+00,1.001412780818062176e+00,4.600000000000000000e+01
7.000000000000000000e+04,1.002388622798721762e+00,1.002572403879014917e+00,1.000361279070682619e+00,4.400000000000000000e+01
7.500000000000000000e+04,1.003612101819753688e+00,1.002944571513020522e+00,9.995389398014536964e-01,4.600000000000000000e+01
8.000000000000000000e+04,1.003612101819753688e+00,1.002944571513020522e+00,9.995389398014536964e-01,4.600000000000000000e+01
8.500000000000000000e+04,1.004473905313810089e+00,1.003517214107614297e+00,9.992443676362995353e-01,4.500000000000000000e+01
9.000000000000000000e+04,1.004473905313810089e+00,1.003517214107614297e+00,9.992443676362995353e-01,4.500000000000000000e+01
9.500000000000000000e+04,1.004473905313810089e+00,1.003517214107614297e+00,9.992443676362995353e-01,4.500000000000000000e+01
1.000000000000000000e+05,1.005618651362534255e+00,1.003794143262811023e+00,9.984202046608001702e-01,4.600000000000000000e+01
1.050000000000000000e+05,1.006477327816270195e+00,1.003988109585173261e+00,9.977396176723249965e-01,4.500000000000000000e+01
1.100000000000000000e+05,1.006477327816270195e+00,1.003988109585173261e+00,9.977396176723249965e-01,4.500000000000000000e+01
1.150000000000000000e+05,1.006477327816270195e+00,1.003988109585173261e+00,9.977396176723249965e-01,4.500000000000000000e+01
1.200000000000000000e+05,1.007436909915575773e+00,1.004284026567479726e+00,9.971055599708781303e-01,4.600000000000000000e+01
1.250000000000000000e+05,1.007436909915575773e+00,1.004284026567479726e+00,9.971055599708781303e-01,4.600000000000000000e+01
1.300000000000000000e+05,1.007436909915575773e+00,1.004284026567479726e+00,9.971055599708781303e-01,4.600000000000000000e+01
1.350000000000000000e+05,1.009116917608100072e+00,1.004906424701367262e+00,9.960483626610660002e-01,4.600000000000000000e+01
1.400000000000000000e+05,1.009116917608100072e+00,1.004906424701367262e+00,9.960483626610660002e-01,4.600000000000000000e+01
1.450000000000000000e+05,1.009116917608100072e+00,1.004906424701367262e+00,9.960483626610660002e-01,4.600000000000000000e+01
1.500000000000000000e+05,1.009116917608100072e+00,1.004906424701367262e+00,9.960483626610660002e-01,4.600000000000000000e+01
1.550000000000000000e+05,1.011144212439808232e+00,1.005746331538252214e+00,9.949204136015340483e-01,4.600000000000000000e+01
1.600000000000000000e+05,1.011144212439808232e+00,1.005746331538252214e+00,9.949204136015340483e-01,4.600000000000000000e+01
1.650000000000000000e+05,1.011941120599229693e+00,1.006279230844340011e+00,9.946598271423560123e-01,4.500000000000000000e+01
1.700000000000000000e+05,1.012447941792581352e+00,1.006500766547010928e+00,9.943814545680969008e-01,4.600000000000000000e+01
1.750000000000000000e+05,1.012447941792581352e+00,1.006500766547010928e+00,9.943814545680969008e-01,4.600000000000000000e+01
1.800000000000000000e+05,1.014514056738798686e+00,1.007614713072402912e+00,9.934889007377899484e-01,4.600000000000000000e+01
1.850000000000000000e+05,1.014514056738798686e+00,1.007614713072402912e+00,9.934889007377899484e-01,4.600000000000000000e+01
1.900000000000000000e+05,1.014514056738798686e+00,1.007614713072402912e+00,9.934889007377899484e-01,4.600000000000000000e+01
1.950000000000000000e+05,1.014514056738798686e+00,1.007614713072402912e+00,9.934889007377899484e-01,4.600000000000000000e+01
2.000000000000000000e+05,1.015251478320948308e+00,1.007812641607376047e+00,9.929733122533088707e-01,4.700000000000000000e+01
2.050000000000000000e+05,1.016005571306813904e+00,1.008529108664426133e+00,9.929471057647739629e-01,4.600000000000000000e+01
2.100000000000000000e+05,1.017175060309881029e+00,1.008909424412759215e+00,9.922117592080218484e-01,4.700000000000000000e+01
2.150000000000000000e+05,1.017862483396546835e+00,1.008936796078403919e+00,9.915550446940403218e-01,4.600000000000000000e+01
2.200000000000000000e+05,1.017862483396546835e+00,1.008936796078403919e+00,9.915550446940403218e-01,4.600000000000000000e+01
2.250000000000000000e+05,1.017862483396546835e+00,1.008936796078403919e+00,9.915550446940403218e-01,4.600000000000000000e+01
